ID,Name,Role,Full Name,Image,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style(l),Team ID,Playing Role
47984,Shamsur Rahman,P,Shamsur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322800/322826.png",5-6-1988,rhb,,right-hand bat,,25.0,opening batter
45573,Syed Rasel,P,Syed Rasel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319758.png",3-7-1984,lhb,lmf,left-hand bat,left-arm medium-fast,25.0,bowler
48391,Tamim Iqbal,P,Tamim Iqbal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316583.png",20-3-1989,lhb,,left-hand bat,,25.0,opening batter
2314,PD Collingwood,C,Paul Collingwood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319806.png",26-5-1976,rhb,rm,right-hand bat,right-arm medium,1.0,allrounder
10829,JM Anderson,P,James Anderson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316516.png",30-7-1982,lhb,rfm,left-hand bat,right-arm fast-medium,1.0,bowler
44691,RS Bopara,P,Ravi Bopara,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316536.png",4-5-1985,rhb,rm,right-hand bat,right-arm medium,1.0,batting allrounder
48440,SCJ Broad,P,Stuart Broad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316586.png",24-6-1986,lhb,rfm,left-hand bat,right-arm fast-medium,1.0,bowler
7826,JS Foster,WK,James Foster,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/305000/305037.jpg",15-4-1980,rhb,,right-hand bat,,1.0,wicketkeeper batter
7053,RWT Key,P,Rob Key,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/304300/304355.jpg",12-5-1979,rhb,ob,right-hand bat,right-arm offbreak,1.0,top-order batter
6769,AD Mascarenhas,P,Dimitri Mascarenhas,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322916.png",30-10-1977,rhb,rfm,right-hand bat,right-arm fast-medium,1.0,allrounder
47055,EJG Morgan,P,Eoin Morgan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316564.png",10-9-1986,lhb,rm,left-hand bat,right-arm medium,1.0,middle-order batter
7221,GR Napier,P,Graham Napier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/144200/144291.1.jpg",6-1-1980,rhb,rm,right-hand bat,right-arm medium,1.0,bowling allrounder
8107,KP Pietersen,P,Kevin Pietersen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319796.png",27-6-1980,rhb,ob,right-hand bat,right-arm offbreak,1.0,top-order batter
49427,AU Rashid,P,Adil Rashid,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319741.png",17-2-1988,rhb,lb,right-hand bat,legbreak,1.0,bowler
6377,OA Shah,P,Owais Shah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322922.png",22-10-1978,rhb,ob,right-hand bat,right-arm offbreak,1.0,batter
4647,RJ Sidebottom,P,Ryan Sidebottom,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323018.png",15-1-1978,lhb,lfm,left-hand bat,left-arm fast-medium,1.0,bowler
7013,GP Swann,P,Graeme Swann,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319755.png",24-3-1979,rhb,ob,right-hand bat,right-arm offbreak,1.0,bowler
44660,LJ Wright,P,Luke Wright,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319799.png",7-3-1985,rhb,rm,right-hand bat,right-arm medium,1.0,top-order batter
4271,A Flintoff,P,Andrew Flintoff,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319745.png",6-12-1977,rhb,rfm,right-hand bat,right-arm fast-medium,1.0,allrounder
7593,MS Dhoni,CWK,MS Dhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319946.png",7-7-1981,rhb,rm,right-hand bat,right-arm medium,6.0,wicketkeeper batter
7716,Yuvraj Singh,VC,Yuvraj Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316400/316495.png",12-12-1981,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,middle-order batter
7773,G Gambhir,P,Gautam Gambhir,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319935.png",14-10-1981,lhb,lb,left-hand bat,legbreak,6.0,top-order batter
7139,Harbhajan Singh,P,Harbhajan Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319937.png",3-7-1980,rhb,ob,right-hand bat,right-arm offbreak,6.0,bowler
49247,RA Jadeja,P,Ravindra Jadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png",6-12-1988,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,allrounder
8813,KD Karthik,P,Dinesh Karthik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319934.png",1-6-1985,rhb,ob,right-hand bat,right-arm offbreak,6.0,wicketkeeper batter
7678,Z Khan,P,Zaheer Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319956.png",8-10-1978,rhb,lfm,right-hand bat,left-arm fast-medium,6.0,bowler
48319,P Kumar,P,Praveen Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339154.png",2-10-1986,rhb,rm,right-hand bat,right-arm medium,6.0,bowler
48431,PP Ojha,P,Pragyan Ojha,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322694.png",5-9-1986,lhb,sla,left-hand bat,slow left-arm orthodox,6.0,bowler
15473,YK Pathan,P,Yusuf Pathan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322695.png",17-11-1982,rhb,ob,right-hand bat,right-arm offbreak,6.0,allrounder
11399,IK Pathan,P,Irfan Pathan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319939.png",27-10-1984,lhb,lmf,left-hand bat,left-arm medium-fast,6.0,allrounder
15716,SK Raina,P,Suresh Raina,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316523.png",27-11-1986,lhb,ob,left-hand bat,right-arm offbreak,6.0,middle-order batter
49327,I Sharma,P,Ishant Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316602.png",2-9-1988,rhb,rfm,right-hand bat,right-arm fast-medium,6.0,bowler
48405,RG Sharma,P,Rohit Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316584.png",30-4-1987,rhb,ob,right-hand bat,right-arm offbreak,6.0,top-order batter
47123,RP Singh,P,RP Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/304200/304222.png",6-12-1985,rhb,lfm,right-hand bat,left-arm fast-medium,6.0,bowler
7781,V Sehwag,P,Virender Sehwag,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319953.png",20-10-1978,rhb,ob,right-hand bat,right-arm offbreak,6.0,top-order batter
47403,WTS Porterfield,C,William Porterfield,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316574.png",6-9-1984,lhb,ob,left-hand bat,right-arm offbreak,29.0,batter
6325,AC Botha,P,Andre Botha,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319867.png",12-9-1975,lhb,rm,left-hand bat,right-arm medium,29.0,allrounder
24812,JP Bray,P,Jeremy Bray,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/305200/305226.jpg",30-11-1973,lhb,,left-hand bat,,29.0,
52609,PC Connell,P,Peter Connell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319894.png",13-8-1981,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,bowler
51559,AR Cusack,P,Alex Cusack,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316628.png",29-10-1980,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,bowler
8228,DT Johnston,P,Trent Johnston,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319900.png",29-4-1974,rhb,rfm,right-hand bat,right-arm fast-medium,29.0,bowler
4346,WK McCallan,P,Kyle McCallan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319875.png",27-8-1975,rhb,ob,right-hand bat,right-arm offbreak,29.0,allrounder
10345,JF Mooney,P,John Mooney,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316507.png",10-2-1982,lhb,rm,left-hand bat,right-arm medium,29.0,allrounder
47397,KJ O'Brien,P,Kevin O'Brien,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316572.png",4-3-1984,rhb,rmf,right-hand bat,right-arm medium-fast,29.0,batting allrounder
10351,NJ O'Brien,WK,Niall O'Brien,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316508.png",8-11-1981,lhb,,left-hand bat,,29.0,wicketkeeper batter
47056,WB Rankin,P,Boyd Rankin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319871.png",5-7-1984,lhb,rfm,left-hand bat,right-arm fast-medium,29.0,bowler
52631,PR Stirling,P,Paul Stirling,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316638.png",3-9-1990,rhb,ob,right-hand bat,right-arm offbreak,29.0,batting allrounder
10313,RM West,P,Regan West,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/305200/305248.jpg",27-4-1979,lhb,"lfm,sla",left-hand bat,"left-arm fast-medium,slow left-arm orthodox",29.0,bowler
10342,AR White,P,Andrew White,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319869.png",3-7-1980,rhb,ob,right-hand bat,right-arm offbreak,29.0,allrounder
47401,GC Wilson,WK,Gary Wilson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316573.png",5-2-1986,rhb,,right-hand bat,,29.0,wicketkeeper batter
4192,J Smits,CWK,Jeroen Smits,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/104300/104328.1.jpg",21-6-1972,rhb,,right-hand bat,,15.0,wicketkeeper batter
45001,PW Borren,P,Peter Borren,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322486.png",21-8-1983,rhb,rm,right-hand bat,right-arm medium,15.0,allrounder
6362,TN de Grooth,P,Tom de Grooth,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322639.png",14-5-1979,rhb,ob,right-hand bat,right-arm offbreak,15.0,middle-order batter
57764,TGJ Gruijters,P,Tim Gruijters,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322641.png",28-8-1991,rhb,rm,right-hand bat,right-arm medium,15.0,top-order batter
52861,MMA Jonkman,P,Maurits Jonkman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322652.png",20-3-1986,rhb,rm,right-hand bat,right-arm medium,15.0,bowler
48654,AN Kervezee,P,Alexei Kervezee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322591.png",11-9-1989,rhb,rm,right-hand bat,right-arm medium,15.0,opening batter
49443,Mudassar Bukhari,P,Mudassar Bukhari,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322595.png",26-12-1983,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,allrounder
47695,DP Nannes,P,Dirk Nannes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/117400/117423.1.jpg",16-5-1976,rhb,lf,right-hand bat,left-arm fast,2.0,bowler
10323,DJ Reekers,P,Darron Reekers,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/104300/104337.1.jpg",26-5-1973,rhb,rm,right-hand bat,right-arm medium,15.0,opening batter
5694,E Schiferli,P,Edgar Schiferli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/104300/104338.1.jpg",17-5-1976,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,bowler
48503,PM Seelaar,P,Pieter Seelaar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322589.png",2-7-1987,rhb,sla,right-hand bat,slow left-arm orthodox,15.0,allrounder
48655,ES Szwarczynski,P,Eric Szwarczynski,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322588.png",13-2-1983,rhb,rm,right-hand bat,right-arm medium,15.0,batter
45358,RN ten Doeschate,P,Ryan ten Doeschate,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322586.png",30-6-1980,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,allrounder
6365,DLS van Bunge,P,Daan van Bunge,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322640.png",19-10-1982,rhb,lb,right-hand bat,legbreak,15.0,allrounder
2260,B Zuiderent,P,Bas Zuiderent,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322597.png",3-3-1977,rhb,rm,right-hand bat,right-arm medium,15.0,middle-order batter
46517,RG Nijman,P,Ruud Nijman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/101400/101404.1.jpg",15-6-1982,rhb,rmf,right-hand bat,right-arm medium-fast,15.0,bowler
4380,DL Vettori,C,Daniel Vettori,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316400/316488.png",27-1-1979,lhb,sla,left-hand bat,slow left-arm orthodox,5.0,allrounder
45000,NT Broom,P,Neil Broom,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321300.png",20-11-1983,rhb,rm,right-hand bat,right-arm medium,5.0,middle-order batter
10380,IG Butler,P,Ian Butler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321229.png",24-11-1981,rhb,rf,right-hand bat,right-arm fast,5.0,bowler
47683,BJ Diamanti,P,Brendon Diamanti,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/303700/303788.png",30-4-1981,rhb,rmf,right-hand bat,right-arm medium-fast,5.0,batter
9639,JEC Franklin,P,James Franklin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319780.png",7-11-1980,lhb,lm,left-hand bat,left-arm medium,5.0,allrounder
48927,MJ Guptill,P,Martin Guptill,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316591.png",30-9-1986,rhb,ob,right-hand bat,right-arm offbreak,5.0,opening batter
10386,NL McCullum,P,Nathan McCullum,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316510.png",1-9-1980,rhb,ob,right-hand bat,right-arm offbreak,5.0,bowler
10384,BB McCullum,WK,Brendon McCullum,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316509.png",27-9-1981,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",5.0,wicketkeeper batter
18948,PD McGlashan,P,Peter McGlashan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/303800/303808.jpg",22-6-1979,rhb,,right-hand bat,,5.0,wicketkeeper batter
10303,KD Mills,P,Kyle Mills,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316506.png",15-3-1979,rhb,rfm,right-hand bat,right-arm fast-medium,5.0,bowler
35652,IE O'Brien,P,Iain O'Brien,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/303600/303644.png",10-7-1976,rhb,rfm,right-hand bat,right-arm fast-medium,5.0,bowler
9989,JDP Oram,P,Jacob Oram,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319779.png",28-7-1978,lhb,rfm,left-hand bat,right-arm fast-medium,5.0,allrounder
11279,AJ Redmond,P,Aaron Redmond,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/303600/303611.png",23-9-1979,rhb,lb,right-hand bat,legbreak,5.0,top-order batter
9570,SB Styris,P,Scott Styris,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319798.png",10-7-1975,rhb,rm,right-hand bat,right-arm medium,5.0,allrounder
44930,LRPL Taylor,P,Ross Taylor,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316538.png",8-3-1984,rhb,ob,right-hand bat,right-arm offbreak,5.0,middle-order batter
44946,JD Ryder,P,Jesse Ryder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319783.png",6-8-1984,lhb,rm,left-hand bat,right-arm medium,5.0,allrounder
10439,Younis Khan,C,Younis Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316512.png",29-11-1977,rhb,"rm,lb",right-hand bat,"right-arm medium,legbreak",7.0,middle-order batter
4178,Abdul Razzaq,P,Abdul Razzaq,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320445.png",2-12-1979,rhb,rfm,right-hand bat,right-arm fast-medium,7.0,allrounder
